Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes,genes_list,num_genes
ko03440,,,0.0,1000000000.0,72,48,K14159;K10959;K10958;K10957;K10873;K10865;K10866;K10868;K10875;K10877;K10901;K10739;K02341;K02343;K02344;K02345;K02686;K02342;K02340;K02339;K02327;K02328;K02335;K02337;K02338;K02317;K03165;K03504;K03111;K01159;K07462;K07466;K08991;K04066;K04067;K04482;K04728;K03655;K03629;K03553;K03550;K03551;K03581;K03582;K03583;K03584;K03763;K06187,K14159;K10959;K10958;K10957;K10873;K10865;K10866;K10868;K10875;K10877;K10901;K10739;K02341;K02343;K02344;K02345;K02686;K02342;K02340;K02339;K02327;K02328;K02335;K02337;K02338;K02317;K03165;K03504;K03111;K01159;K07462;K07466;K08991;K04066;K04067;K04482;K04728;K03655;K03629;K03553;K03550;K03551;K03581;K03582;K03583;K03584;K03763;K06187,"['K14159', 'K10959', 'K10958', 'K10957', 'K10873', 'K10865', 'K10866', 'K10868', 'K10875', 'K10877', 'K10901', 'K10739', 'K02341', 'K02343', 'K02344', 'K02345', 'K02686', 'K02342', 'K02340', 'K02339', 'K02327', 'K02328', 'K02335', 'K02337', 'K02338', 'K02317', 'K03165', 'K03504', 'K03111', 'K01159', 'K07462', 'K07466', 'K08991', 'K04066', 'K04067', 'K04482', 'K04728', 'K03655', 'K03629', 'K03553', 'K03550', 'K03551', 'K03581', 'K03582', 'K03583', 'K03584', 'K03763', 'K06187']",48
ko03450,,,0.0,1000000000.0,19,13,K10979;K10981;K10982;K10983;K10777;K10865;K10866;K10868;K10884;K10885;K01971;K03512;K04799,K10979;K10981;K10982;K10983;K10777;K10865;K10866;K10868;K10884;K10885;K01971;K03512;K04799,"['K10979', 'K10981', 'K10982', 'K10983', 'K10777', 'K10865', 'K10866', 'K10868', 'K10884', 'K10885', 'K01971', 'K03512', 'K04799']",13
ko03460,,,0.0,1000000000.0,54,21,K15363;K15364;K15079;K15078;K10848;K10849;K10858;K10896;K10901;K11137;K10739;K02350;K03165;K03515;K03511;K03509;K03508;K07466;K08734;K08991;K04482,K15363;K15364;K15079;K15078;K10848;K10849;K10858;K10896;K10901;K11137;K10739;K02350;K03165;K03515;K03511;K03509;K03508;K07466;K08734;K08991;K04482,"['K15363', 'K15364', 'K15079', 'K15078', 'K10848', 'K10849', 'K10858', 'K10896', 'K10901', 'K11137', 'K10739', 'K02350', 'K03165', 'K03515', 'K03511', 'K03509', 'K03508', 'K07466', 'K08734', 'K08991', 'K04482']",21
ko04010,,,0.0,1000000000.0,235,17,K02677;K03283;K03099;K07827;K07836;K07861;K04393;K04409;K04441;K04459;K04460;K04464;K04392;K04371;K04345;K04348;K06268,K02677;K03283;K03099;K07827;K07836;K07861;K04393;K04409;K04441;K04459;K04460;K04464;K04392;K04371;K04345;K04348;K06268,"['K02677', 'K03283', 'K03099', 'K07827', 'K07836', 'K07861', 'K04393', 'K04409', 'K04441', 'K04459', 'K04460', 'K04464', 'K04392', 'K04371', 'K04345', 'K04348', 'K06268']",17
ko04011,,,0.0,1000000000.0,91,90,K12760;K15174;K11246;K11239;K11240;K11241;K11242;K11243;K11244;K11245;K11237;K11238;K11236;K11235;K11213;K11215;K11226;K11227;K11228;K11229;K11230;K11231;K11232;K11233;K11234;K10591;K12412;K19704;K19815;K19816;K19833;K19838;K19839;K19840;K19812;K19807;K19806;K19841;K19842;K19843;K19844;K19845;K19846;K19847;K19848;K19849;K19850;K19851;K19860;K17741;K17971;K02515;K02516;K02677;K02555;K02218;K02220;K03114;K03085;K00888;K00889;K00706;K00006;K01383;K09468;K09265;K09448;K09051;K08294;K07973;K04393;K04409;K04441;K04464;K04371;K04513;K04627;K04536;K04563;K03781;K06276;K06630;K06666;K06665;K06648;K06649;K06650;K06651;K06652;K06009,K12760;K15174;K11246;K11239;K11240;K11241;K11242;K11243;K11244;K11245;K11237;K11238;K11236;K11235;K11213;K11215;K11226;K11227;K11228;K11229;K11230;K11231;K11232;K11233;K11234;K10591;K12412;K19704;K19815;K19816;K19833;K19838;K19839;K19840;K19812;K19807;K19806;K19841;K19842;K19843;K19844;K19845;K19846;K19847;K19848;K19849;K19850;K19851;K19860;K17741;K17971;K02515;K02516;K02677;K02555;K02218;K02220;K03114;K03085;K00888;K00889;K00706;K00006;K01383;K09468;K09265;K09448;K09051;K08294;K07973;K04393;K04409;K04441;K04464;K04371;K04513;K04627;K04536;K04563;K03781;K06276;K06630;K06666;K06665;K06648;K06649;K06650;K06651;K06652;K06009,"['K12760', 'K15174', 'K11246', 'K11239', 'K11240', 'K11241', 'K11242', 'K11243', 'K11244', 'K11245', 'K11237', 'K11238', 'K11236', 'K11235', 'K11213', 'K11215', 'K11226', 'K11227', 'K11228', 'K11229', 'K11230', 'K11231', 'K11232', 'K11233', 'K11234', 'K10591', 'K12412', 'K19704', 'K19815', 'K19816', 'K19833', 'K19838', 'K19839', 'K19840', 'K19812', 'K19807', 'K19806', 'K19841', 'K19842', 'K19843', 'K19844', 'K19845', 'K19846', 'K19847', 'K19848', 'K19849', 'K19850', 'K19851', 'K19860', 'K17741', 'K17971', 'K02515', 'K02516', 'K02677', 'K02555', 'K02218', 'K02220', 'K03114', 'K03085', 'K00888', 'K00889', 'K00706', 'K00006', 'K01383', 'K09468', 'K09265', 'K09448', 'K09051', 'K08294', 'K07973', 'K04393', 'K04409', 'K04441', 'K04464', 'K04371', 'K04513', 'K04627', 'K04536', 'K04563', 'K03781', 'K06276', 'K06630', 'K06666', 'K06665', 'K06648', 'K06649', 'K06650', 'K06651', 'K06652', 'K06009']",90
ko04012,,,0.0,1000000000.0,69,7,K02677;K03083;K03099;K07827;K07203;K04409;K04371,K02677;K03083;K03099;K07827;K07203;K04409;K04371,"['K02677', 'K03083', 'K03099', 'K07827', 'K07203', 'K04409', 'K04371']",7
ko04013,,,0.0,1000000000.0,84,12,K14290;K20223;K03099;K07827;K04441;K04392;K04382;K04371;K04508;K04564;K06689;K05759,K14290;K20223;K03099;K07827;K04441;K04392;K04382;K04371;K04508;K04564;K06689;K05759,"['K14290', 'K20223', 'K03099', 'K07827', 'K04441', 'K04392', 'K04382', 'K04371', 'K04508', 'K04564', 'K06689', 'K05759']",12
ko04014,,,0.0,1000000000.0,180,18,K10632;K17637;K02677;K02183;K03099;K01115;K07827;K07836;K07861;K07889;K07941;K04393;K04409;K04392;K04371;K04345;K04513;K04536,K10632;K17637;K02677;K02183;K03099;K01115;K07827;K07836;K07861;K07889;K07941;K04393;K04409;K04392;K04371;K04345;K04513;K04536,"['K10632', 'K17637', 'K02677', 'K02183', 'K03099', 'K01115', 'K07827', 'K07836', 'K07861', 'K07889', 'K07941', 'K04393', 'K04409', 'K04392', 'K04371', 'K04345', 'K04513', 'K04536']",18
ko04015,,,0.0,1000000000.0,162,13,K02677;K02183;K07827;K07836;K07861;K04393;K04441;K04392;K04371;K04513;K04630;K05759;K05692,K02677;K02183;K07827;K07836;K07861;K04393;K04441;K04392;K04371;K04513;K04630;K05759;K05692,"['K02677', 'K02183', 'K07827', 'K07836', 'K07861', 'K04393', 'K04441', 'K04392', 'K04371', 'K04513', 'K04630', 'K05759', 'K05692']",13
ko04016,,,0.0,1000000000.0,54,4,K17686;K02183;K00940;K03781,K17686;K02183;K00940;K03781,"['K17686', 'K02183', 'K00940', 'K03781']",4
